,TP9,AF7,AF8,TP10,Right AUX,timestamps
389,26.855,-8.789,-3.906,505.371,0.000,1737549844.919
390,-20.020,-18.555,4.395,-242.676,0.000,1737549844.923
391,-87.402,-29.785,0.488,-1000.000,0.000,1737549844.927
392,-60.547,-39.062,0.977,-686.523,0.000,1737549844.930
393,26.367,-23.926,-16.113,109.375,0.000,1737549844.934
394,55.664,-5.371,-33.203,399.414,0.000,1737549844.938
395,4.883,-10.742,-28.809,-322.266,0.000,1737549844.941
396,-59.082,-14.648,-24.902,-1000.000,0.000,1737549844.947
397,-38.086,-20.996,-25.391,-545.410,0.000,1737549844.951
398,24.414,-30.273,-18.066,449.707,0.000,1737549844.955
399,59.570,-23.926,-8.789,787.109,0.000,1737549844.958
400,-16.113,-9.766,-2.930,19.043,0.000,1737549844.962
401,-96.680,-25.879,-10.742,-954.102,0.000,1737549844.966
402,-57.129,-29.785,-20.996,-678.223,0.000,1737549844.970
403,12.207,-3.418,-29.785,187.012,0.000,1737549844.973
404,35.156,-2.930,-22.949,523.926,0.000,1737549844.977
405,-18.066,-17.090,-20.508,-23.438,0.000,1737549844.981
406,-94.238,-40.039,-39.062,-893.066,0.000,1737549844.985
407,-70.312,-40.527,-33.203,-839.355,0.000,1737549844.988
408,-7.324,-16.113,-3.418,-1.953,0.000,1737549844.994
409,24.414,-12.207,6.348,496.582,0.000,1737549844.998
410,-15.137,-17.578,-9.766,-117.676,0.000,1737549845.001
411,-100.098,-6.836,-29.785,-939.453,0.000,1737549845.005
412,-72.754,-4.395,-37.109,-937.500,0.000,1737549845.009
413,-5.859,-11.719,-41.016,-309.082,0.000,1737549845.012
414,36.133,-15.625,-34.668,384.766,0.000,1737549845.016
415,24.902,-22.949,-17.090,23.926,0.000,1737549845.020
416,-52.734,-34.180,-12.207,-888.184,0.000,1737549845.024
417,-65.430,-28.809,-18.066,-949.707,0.000,1737549845.027
418,-19.043,-6.836,-35.156,-163.574,0.000,1737549845.031
419,44.434,-6.836,-32.715,702.148,0.000,1737549845.035
420,23.926,-12.695,-3.418,390.625,0.000,1737549845.040
421,-69.336,-22.949,-5.371,-708.008,0.000,1737549845.044
422,-112.793,-32.715,-18.066,-991.211,0.000,1737549845.048
423,-82.520,-25.879,-18.555,-220.703,0.000,1737549845.051
424,34.180,-32.227,-35.645,582.520,0.000,1737549845.055
425,44.434,-39.551,-35.645,490.234,0.000,1737549845.059
426,-30.273,-22.461,-14.160,-371.094,0.000,1737549845.063
427,-66.406,-24.902,-22.949,-855.469,0.000,1737549845.066
428,-42.480,-35.156,-41.016,-297.852,0.000,1737549845.070
429,16.602,-15.137,-20.020,486.328,0.000,1737549845.074
